Name,Revenue,Profits,Assets,MarketValue,Employees,Industry,City,State,Country,Region,EconomicPole,Ticker,CeoTitle
China Huaneng Group,43224,774.5,149670,0,142910,Energy,Beijing,0,China,Asia,Growth,  ,President
CHS,34582,781,15228,0,12511,Food Production,Inver Grove Heights,Minnesota,U.S.,N. America,Developed ,  ,"President, Chief Executive Officer"
WH Group,21209,786,14301,0,105000,Food Consumer Products,Hong Kong,0,China,Asia,Growth,WGHPY ,"Chairman, Chief Executive Officer"
Mapfre Group,24795,786.2,68962,0,38405,Insurance: Property and Casualty (Stock),Madrid,0,Spain,Europe,Developed ,MPFRY ,"Chairman, Chief Executive Officer, Vice President"
Aegon,39062,788.7,453135,0,31530,"Insurance: Life, Health (stock)",The Hague,0,Netherlands,Europe,Developed ,AEG   ,"Chairman, Chief Executive Officer"
Bunge,43455,791,17922,0,33000,Food Production,White Plains,New York,U.S.,N. America,Developed ,BG    ,0
Maersk Group,40308,791,62408,0,88355,Shipping,Copenhagen,0,Denmark,Europe,Developed ,AMKBY ,"Group Chief Executive Officer, Chief Executive Officer, Maersk Line"
China North Industries Group,61621,803.1,51870,0,241309,Aerospace and Defense,Beijing,0,China,Asia,Growth,  ,"President, Director"
CRH,26218,803.1,34766,0,78106,"Building Materials, Glass",Dublin,0,Ireland,Europe,Developed ,CRH   ,Group Chief Executive Officer
ACS,38741,804.6,38321,0,127362,"Engineering, Construction",Madrid,0,Spain,Europe,Developed ,ACSAF ,"Chairman, Chief Executive Officer, Executive Director"
Aisin Seiki,27015,807.8,25492,0,99389,Motor Vehicles and Parts,Kariya,0,Japan,Asia,Developed ,ASEKY ,"President, Chief Executive Officer"
Sodexo,22942,810.4,16220,0,422844,Food Services,Issy-les-Moulineaux,0,France,Europe,Developed ,SDXAY ,"Chief Executive Officer, Director"
Talanx,35379,814.2,165928,0,20334,Insurance: Property and Casualty (Stock),Hanover,0,Germany,Europe,Developed ,0,Chief Executive Officer
Northwestern Mutual,28111,815,238472,0,5530,"Insurance: Life, Health (Mutual)",Milwaukee,Wisconsin,U.S.,N. America,Developed ,  ,"Chairman, Chief Executive Officer"
China Guodian,30515,819.3,121090,0,126502,Energy,Beijing,0,China,Asia,Growth,  ,Chairman
EXOR Group,152591,825.3,170419,0,303247,Diversified Financials,Turin,0,Italy,Europe,Developed ,EXOSF ,"Chairman, Chief Executive Officer, Secretary"
Migros,28486,832.6,62095,0,76183,Food and Drug Stores,Zurich,0,Switzerland,Europe,Developed ,  ,"Chief Executive Officer, Director"
China Poly Group,26675,839.6,91455,0,70437,Real Estate,Beijing,0,China,Asia,Growth,  ,"President, Director"
LG Display,25100,854.7,19259,0,49205,"Electronics, Electrical Equip.",Seoul,0,South Korea,Asia,Growth,LPL   ,"Chief Executive Officer, Vice Chairman"
GS Caltex,25061,859.4,16164,0,3969,Petroleum Refining,Seoul,0,South Korea,Asia,Growth,  ,"Chief Executive Officer, Caltex"
Daiwa House Industry,26596,862.8,28989,0,47143,"Engineering, Construction",Osaka,0,Japan,Asia,Developed ,DWAHY ,"Chairman, Chief Executive Officer, President"
Aviation Industry Corp. of China,60252,882.7,143814,0,542236,Aerospace and Defense,Beijing,0,China,Asia,Growth,  ,President
Best Buy,39745,897,13519,10489,125000,Specialty Retailers,Richfield,Minnesota,U.S.,N. America,Developed ,BBY   ,"President, Chief Executive Officer"
Swiss Life,21365,906.4,189120,0,7595,"Insurance: Life, Health (stock)",Zurich,0,Switzerland,Europe,Developed ,SZLMY ,Group Chief Executive Officer
Alimentation Couche-Tard,34530,932.8,10838,0,80000,Specialty Retailers,"Laval, Quebec",0,Canada,N. America,Developed ,ANCUF ,"President, Chief Executive Officer"
International Paper,22365,938,30587,16874,56000,Miscellaneous,Memphis,Tennessee,U.S.,N. America,Developed ,IP    ,"Chairman of the Board, Chief Executive Officer"
Old Mutual,20923,938.1,196810,0,64043,"Insurance: Life, Health (stock)",London,0,Britain,Europe,Developed ,ODMTY ,"Group Chief Executive, Director"
Royal Ahold,42378,945.1,17249,0,129000,Food and Drug Stores,Zaandam,0,Netherlands,Europe,Developed ,AHONY ,Chief Executive Officer
Suzuki Motor,26494,971.8,24044,0,61601,Motor Vehicles and Parts,Hamamatsu,0,Japan,Asia,Developed ,SZKMY ,"President, Chief Executive Officer, Chief Operating Officer"
Rabobank,24019,976.2,728159,0,45658,Banks: Commercial and Savings,Utrecht,0,Netherlands,Europe,Developed ,  ,"Chairman, Chief Executive Officer"
China Railway Engineering,99435,983.1,110319,0,281824,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,President
Peugeot,60651,997.2,53343,0,187347,Motor Vehicles and Parts,Paris,0,France,Europe,Developed ,PUGOY ,Chairman
FedEx,47453,1050,37069,43678,323035,"Mail, Package, and Freight Delivery",Memphis,Tennessee,U.S.,N. America,Developed ,FDX   ,"Chairman, President, Chief Executive Officer"
Wilmar International,38777,1056.1,37939,0,92000,Food Production,Singapore,0,Singapore,Asia,Developed ,WLMIY ,"Chairman, Chief Executive Officer"
Heineken Holding,23208,1061.6,40965,0,73767,Beverages,Amsterdam,0,Netherlands,Europe,Developed ,HKHHY ,"Chair, Chief Executive Officer"
